Time Stamp,District,Area,Status
1461711901,1,Area02_020,Done
1461711901,1,Area02_021,Done
1461711901,1,Area02_022,Done
1461711901,1,Area02_023,Done
1461711901,1,Area02_024,Done
1461711901,1,Area02_025,Current
1461711901,1,Area02_026,Current
1461711901,2,Area03_001,Done
1461711901,2,Area03_002,Done
1461711901,2,Area03_003,Done
1461711901,2,Area03_004,Done
1461711901,2,Area03_005,Done
1461711901,2,Area03_006,Done
1461711901,2,Area03_007,Done
1461711901,2,Area03_008,Done
1461711901,2,Area03_009,Done
1461711901,2,Area03_010,Done
1461711901,2,Area03_011,Done
1461711901,2,Area03_012,Done
1461711901,2,Area03_013,Done
1461711901,2,Area03_014,Done
1461711901,2,Area03_015,Done
1461711901,2,Area03_016,Done
1461711901,2,Area03_017,Done
1461711901,2,Area03_018,Done
1461711901,2,Area03_019,Done
1461711901,2,Area03_020,Done
1461711901,2,Area03_021,Done
1461711901,3,Area04_001,Done
1461711901,3,Area04_002,Done
1461711901,3,Area04_003,Done
1461711901,3,Area04_004,Done
1461711901,3,Area04_005,Done
1461711901,3,Area04_006,Done
1461711901,3,Area04_007,Done
1461711901,3,Area04_008,Done
1461711901,3,Area04_009,Done
1461711901,3,Area04_010,Done
1461711901,3,Area04_011,Done
1461711901,3,Area04_012,Done
1461711901,3,Area04_013,Done
1461711901,3,Area04_014,Done
1461711901,3,Area04_015,Done
1461711901,3,Area04_016,Done
1461711901,3,Area04_017,Done
1461711901,3,Area04_018,Done
1461711901,3,Area04_019,Done
1461711901,4,Area05_001,Done
1461711901,4,Area05_002,Done
1461711901,4,Area05_003,Done
1461711901,4,Area05_004,Done
1461711901,4,Area05_005,Done
1461711901,4,Area05_006,Done
1461711901,4,Area05_007,Done
1461711901,4,Area05_008,Done
1461711901,4,Area05_009,Done
1461711901,4,Area05_010,Done
1461711901,4,Area05_011,Done
1461711901,4,Area05_012,Done
1461711901,4,Area05_013,Done
1461711901,4,Area05_014,Done
1461711901,4,Area05_015,Done
1461711901,4,Area05_016,Done
1461711901,4,Area05_017,Done
1461711901,4,Area05_018,Done
1461711901,4,Area05_019,Done
1461711901,4,Area05_020,Done
1461711901,4,Area05_021,Done
1461711901,5,Area06_001,Done
1461711901,5,Area06_002,Done
1461711901,5,Area06_003,Done
1461711901,5,Area06_004,Done
1461711901,5,Area06_005,Done
1461711901,5,Area06_006,Done
1461711901,5,Area06_007,Done
1461711901,5,Area06_008,Done
1461711901,5,Area06_009,Done
1461711901,5,Area06_010,Done
1461711901,5,Area06_011,Next
1461711901,5,Area06_012,Done
1461711901,5,Area06_013,Done
1461711901,5,Area06_014,Done
1461711901,5,Area06_015,Done
1461711901,5,Area06_016,Done
1461711901,5,Area06_017,Done
1461711901,5,Area06_018,Done
1461711901,5,Area06_019,Done
1461711901,5,Area06_020,Done
1461711901,5,Area06_021,Done
1461711901,5,Area06_022,Done
1461711901,5,Area06_023,Done
1461711901,5,Area06_024,Done
1461711901,5,Area06_025,Done
1461711901,5,Area06_026,Done
1461711901,5,Area06_027,Done
1461711901,5,Area06_028,Done
1461711901,5,Area06_029,Done
1461711901,6,Area07_001,Done
1461711901,6,Area07_002,Done
1461711901,6,Area07_003,Done
1461711901,6,Area07_006,Done
1461711901,6,Area07_007,Done
1461711901,6,Area07_008,Done
1461711901,6,Area07_009,Done
1461711901,6,Area07_010,Done
1461711901,6,Area07_011,Done
1461711901,6,Area07_012,Done
1461711901,6,Area07_013,Done
1461711901,6,Area07_014,Done
1461711901,6,Area07_015,Done
1461711901,6,Area07_016,Done
1461711901,6,Area07_017,Done
1461711901,6,Area07_018,Done
1461711901,6,Area07_019,Done
1461711901,6,Area07_020,Done
1461711901,7,Area08_001,Current
1461711901,7,Area08_002,Current
1461711901,7,Area08_003,Current
1461711901,7,Area08_004,Current
1461711901,7,Area08_005,Current
1461711901,7,Area08_006,Current
1461711901,7,Area08_007,Current
1461711901,7,Area08_008,Current
1461711901,7,Area08_009,Current
1461711901,7,Area08_010,Current
1461711901,7,Area08_011,Current
1461711901,7,Area08_012,Current
1461711901,7,Area08_013,Current
1461711901,7,Area08_014,Current
1461711901,7,Area08_015,Done
1461711901,7,Area08_016,Current
1461711901,7,Area08_017,Current
1461711901,7,Area08_018,Current
1461711901,7,Area08_019,Current
1461711901,7,Area08_020,Done
1461711901,7,Area08_021,Current
1461711901,7,Area08_022,Current
1461711901,7,Area08_099,Current
1461711901,8,Area09_001,Done
1461711901,8,Area09_002,Done
1461711901,8,Area09_003,Done
1461711901,8,Area09_004,Current
1461711901,8,Area09_005,Current
1461711901,8,Area09_006,Done
1461711901,8,Area09_007,Done
1461711901,8,Area09_008,Done
1461711901,8,Area09_009,Done
1461711901,8,Area09_010,Done
1461711901,8,Area09_011,Done
1461711901,8,Area09_012,Done
1461711901,8,Area09_013,Done
1461711901,8,Area09_014,Current
1461711901,8,Area09_015,Current
1461711901,8,Area09_016,Current
1461711901,8,Area09_017,Current
1461711901,8,Area09_018,Current
1461711901,8,Area09_019,Current
1461711901,8,Area09_020,Done
1461755101,0,Area01_001,Done
1461755101,0,Area01_002,Done
1461755101,0,Area01_003,Done
1461755101,0,Area01_004,Done
1461755101,0,Area01_005,Done
1461755101,0,Area01_006,Done
1461755101,0,Area01_007,Done
1461755101,0,Area01_008,Done
1461755101,0,Area01_009,Done
1461755101,0,Area01_010,Done
1461755101,0,Area01_011,Done
1461755101,0,Area01_012,Done
1461755101,0,Area01_013,Done
1461755101,0,Area01_014,Done
1461755101,0,Area01_015,Done
1461755101,0,Area01_016,Done
1461755101,0,Area01_017,Done
1461755101,0,Area01_018,Done
1461755101,0,Area01_019,Done
1461755101,0,Area01_020,Done
1461755101,0,Area01_021,Done
1461755101,9,Area10_001,Next
1461755101,9,Area10_002,Next
1461755101,9,Area10_003,Next
1461755101,9,Area10_004,Next
1461755101,9,Area10_005,Next
1461755101,9,Area10_006,Next
1461755101,9,Area10_007,Next
1461755101,9,Area10_008,Next
1461755101,9,Area10_009,Next
1461755101,9,Area10_010,Next
1461755101,9,Area10_011,Next
1461755101,9,Area10_012,Next
1461755101,9,Area10_013,Next
1461755101,9,Area10_014,Next
1461755101,9,Area10_015,Next
1461755101,9,Area10_016,Next
1461755101,9,Area10_017,Next
1461755101,9,Area10_018,Next
1461755101,9,Area10_019,Next
1461755101,9,Area10_020,Next
1461755101,9,Area10_021,Next
1461755101,9,Area10_022,Next
1461755101,9,Area10_023,Next
1461755101,1,Area02_001,Done
1461755101,1,Area02_002,Done
1461755101,1,Area02_003,Done
1461755101,1,Area02_004,Done
1461755101,1,Area02_005,Done
1461755101,1,Area02_006,Done
1461755101,1,Area02_007,Done
1461755101,1,Area02_008,Done
1461755101,1,Area02_009,Done
1461755101,1,Area02_010,Done
1461755101,1,Area02_011,Done
1461755101,1,Area02_012,Done
1461755101,1,Area02_013,Done
1461755101,1,Area02_014,Done
1461755101,1,Area02_015,Done
1461755101,1,Area02_016,Done
1461755101,1,Area02_017,Done
1461755101,1,Area02_018,Done
1461755101,1,Area02_019,Done
1461755101,1,Area02_020,Done
1461755101,1,Area02_021,Done
1461755101,1,Area02_022,Done
1461755101,1,Area02_023,Done
1461755101,1,Area02_024,Done
1461755101,1,Area02_025,Current
1461755101,1,Area02_026,Current
1461755101,2,Area03_001,Done
1461755101,2,Area03_002,Done
1461755101,2,Area03_003,Done
1461755101,2,Area03_004,Done
1461755101,2,Area03_005,Done
1461755101,2,Area03_006,Done
1461755101,2,Area03_007,Done
1461755101,2,Area03_008,Done
1461755101,2,Area03_009,Done
1461755101,2,Area03_010,Done
1461755101,2,Area03_011,Done
1461755101,2,Area03_012,Done
1461755101,2,Area03_013,Done
1461755101,2,Area03_014,Done
1461755101,2,Area03_015,Done
1461755101,2,Area03_016,Done
1461755101,2,Area03_017,Done
1461755101,2,Area03_018,Done
1461755101,2,Area03_019,Done
1461755101,2,Area03_020,Done
1461755101,2,Area03_021,Done
1461755101,3,Area04_001,Done
1461755101,3,Area04_002,Done
1461755101,3,Area04_003,Done
1461755101,3,Area04_004,Done
1461755101,3,Area04_005,Done
1461755101,3,Area04_006,Done
1461755101,3,Area04_007,Done
1461755101,3,Area04_008,Done
1461755101,3,Area04_009,Done
1461755101,3,Area04_010,Done
1461755101,3,Area04_011,Done
1461755101,3,Area04_012,Done
1461755101,3,Area04_013,Done
1461755101,3,Area04_014,Done
1461755101,3,Area04_015,Done
1461755101,3,Area04_016,Done
1461755101,3,Area04_017,Done
1461755101,3,Area04_018,Done
1461755101,3,Area04_019,Done
1461755101,4,Area05_001,Done
1461755101,4,Area05_002,Done
1461755101,4,Area05_003,Done
1461755101,4,Area05_004,Done
1461755101,4,Area05_005,Done
1461755101,4,Area05_006,Done
1461755101,4,Area05_007,Done
1461755101,4,Area05_008,Done
1461755101,4,Area05_009,Done
1461755101,4,Area05_010,Done
1461755101,4,Area05_011,Done
1461755101,4,Area05_012,Done
1461755101,4,Area05_013,Done
1461755101,4,Area05_014,Done
1461755101,4,Area05_015,Done
1461755101,4,Area05_016,Done
1461755101,4,Area05_017,Done
1461755101,4,Area05_018,Done
1461755101,4,Area05_019,Done
1461755101,4,Area05_020,Done
1461755101,4,Area05_021,Done
1461755101,5,Area06_001,Done
1461755101,5,Area06_002,Done
1461755101,5,Area06_003,Done
1461755101,5,Area06_004,Done
1461755101,5,Area06_005,Done
1461755101,5,Area06_006,Done
1461755101,5,Area06_007,Done
1461755101,5,Area06_008,Done
1461755101,5,Area06_009,Done
1461755101,5,Area06_010,Done
1461755101,5,Area06_011,Next
1461755101,5,Area06_012,Done
1461755101,5,Area06_013,Done
1461755101,5,Area06_014,Done
1461755101,5,Area06_015,Done
1461755101,5,Area06_016,Done
1461755101,5,Area06_017,Done
1461755101,5,Area06_018,Done
1461755101,5,Area06_019,Done
1461755101,5,Area06_020,Done
1461755101,5,Area06_021,Done
1461755101,5,Area06_022,Done
1461755101,5,Area06_023,Done
1461755101,5,Area06_024,Done
1461755101,5,Area06_025,Done
1461755101,5,Area06_026,Done
1461755101,5,Area06_027,Done
1461755101,5,Area06_028,Done
1461755101,5,Area06_029,Done
1461755101,6,Area07_001,Done
1461755101,6,Area07_002,Done
1461755101,6,Area07_003,Done
1461755101,6,Area07_006,Done
1461755101,6,Area07_007,Done
1461755101,6,Area07_008,Done
1461755101,6,Area07_009,Done
1461755101,6,Area07_010,Done
1461755101,6,Area07_011,Done
1461755101,6,Area07_012,Done
1461755101,6,Area07_013,Done
1461755101,6,Area07_014,Done
1461755101,6,Area07_015,Done
1461755101,6,Area07_016,Done
1461755101,6,Area07_017,Done
1461755101,6,Area07_018,Done
1461755101,6,Area07_019,Done
1461755101,6,Area07_020,Done
1461755101,7,Area08_001,Current
1461755101,7,Area08_002,Current
1461755101,7,Area08_003,Current
1461755101,7,Area08_004,Current
1461755101,7,Area08_005,Current
1461755101,7,Area08_006,Current
1461755101,7,Area08_007,Current
1461755101,7,Area08_008,Current
1461755101,7,Area08_009,Current
1461755101,7,Area08_010,Current
1461755101,7,Area08_011,Current
1461755101,7,Area08_012,Current
1461755101,7,Area08_013,Current
1461755101,7,Area08_014,Current
1461755101,7,Area08_015,Done
1461755101,7,Area08_016,Current
1461755101,7,Area08_017,Current
1461755101,7,Area08_018,Current
1461755101,7,Area08_019,Current
1461755101,7,Area08_020,Done
1461755101,7,Area08_021,Current
1461755101,7,Area08_022,Current
1461755101,7,Area08_099,Current
1461755101,8,Area09_001,Done
1461755101,8,Area09_002,Done
1461755101,8,Area09_003,Done
1461755101,8,Area09_004,Current
1461755101,8,Area09_005,Current
1461755101,8,Area09_006,Done
1461755101,8,Area09_007,Done
1461755101,8,Area09_008,Done
1461755101,8,Area09_009,Done
1461755101,8,Area09_010,Done
1461755101,8,Area09_011,Done
1461755101,8,Area09_012,Done
1461755101,8,Area09_013,Done
1461755101,8,Area09_014,Current
1461755101,8,Area09_015,Current
1461755101,8,Area09_016,Current
1461755101,8,Area09_017,Current
1461755101,8,Area09_018,Current
1461755101,8,Area09_019,Current
1461755101,8,Area09_020,Done
1461868173,0,Area01_001,Done
1461868173,0,Area01_002,Done
1461868173,0,Area01_003,Done
1461868173,0,Area01_004,Done
1461868173,0,Area01_005,Done
1461868173,0,Area01_006,Done
1461868173,0,Area01_007,Done
1461868173,0,Area01_008,Done
1461868173,0,Area01_009,Done
1461868173,0,Area01_010,Done
1461868173,0,Area01_011,Done
1461868173,0,Area01_012,Done
1461868173,0,Area01_013,Done
1461868173,0,Area01_014,Done
1461868173,0,Area01_015,Done
1461868173,0,Area01_016,Done
1461868173,0,Area01_017,Done
1461868173,0,Area01_018,Done
1461868173,0,Area01_019,Done
1461868173,0,Area01_020,Done
1461868173,0,Area01_021,Done
1461868173,9,Area10_001,Current
1461868173,9,Area10_002,Current
1461868173,9,Area10_003,Current
1461868173,9,Area10_004,Current
1461868173,9,Area10_005,Current
1461868173,9,Area10_006,Current
1461868173,9,Area10_007,Current
1461868173,9,Area10_008,Current
1461868173,9,Area10_009,Current
1461868173,9,Area10_010,Current
1461868173,9,Area10_011,Current
1461868173,9,Area10_012,Current
1461868173,9,Area10_013,Current
1461868173,9,Area10_014,Current
1461868173,9,Area10_015,Current
1461868173,9,Area10_016,Current
1461868173,9,Area10_017,Current
1461868173,9,Area10_018,Current
1461868173,9,Area10_019,Current
1461868173,9,Area10_020,Current
1461868173,9,Area10_021,Current
1461868173,9,Area10_022,Current
1461868173,9,Area10_023,Current
1461868173,1,Area02_001,Done
1461868173,1,Area02_002,Done
1461868173,1,Area02_003,Done
1461868173,1,Area02_004,Done
1461868173,1,Area02_005,Done
1461868173,1,Area02_006,Done
1461868173,1,Area02_007,Done
1461868173,1,Area02_008,Done
1461868173,1,Area02_009,Done
1461868173,1,Area02_010,Done
1461868173,1,Area02_011,Done
1461868173,1,Area02_012,Done
1461868173,1,Area02_013,Done
1461868173,1,Area02_014,Done
1461868173,1,Area02_015,Done
1461868173,1,Area02_016,Done
1461868173,1,Area02_017,Done
1461868173,1,Area02_018,Done
1461868173,1,Area02_019,Done
1461868173,1,Area02_020,Done
1461868173,1,Area02_021,Done
1461868173,1,Area02_022,Done
1461868173,1,Area02_023,Done
1461868173,1,Area02_024,Done
1461868173,1,Area02_025,Current
1461868173,1,Area02_026,Current
1461868173,2,Area03_001,Done
1461868173,2,Area03_002,Done
1461868173,2,Area03_003,Done
1461868173,2,Area03_004,Done
1461868173,2,Area03_005,Done
1461868173,2,Area03_006,Done
1461868173,2,Area03_007,Done
1461868173,2,Area03_008,Done
1461868173,2,Area03_009,Done
1461868173,2,Area03_010,Done
1461868173,2,Area03_011,Done
1461868173,2,Area03_012,Done
1461868173,2,Area03_013,Done
1461868173,2,Area03_014,Done
1461868173,2,Area03_015,Done
1461868173,2,Area03_016,Done
1461868173,2,Area03_017,Done
1461868173,2,Area03_018,Done
1461868173,2,Area03_019,Done
1461868173,2,Area03_020,Done
1461868173,2,Area03_021,Done
1461868173,3,Area04_001,Done
1461868173,3,Area04_002,Done
1461868173,3,Area04_003,Done
1461868173,3,Area04_004,Done
1461868173,3,Area04_005,Done
1461868173,3,Area04_006,Done
1461868173,3,Area04_007,Done
1461868173,3,Area04_008,Done
1461868173,3,Area04_009,Done
1461868173,3,Area04_010,Done
1461868173,3,Area04_011,Done
1461868173,3,Area04_012,Done
1461868173,3,Area04_013,Done
1461868173,3,Area04_014,Done
1461868173,3,Area04_015,Done
1461868173,3,Area04_016,Done
1461868173,3,Area04_017,Done
1461868173,3,Area04_018,Done
1461868173,3,Area04_019,Done
1461868173,4,Area05_001,Done
1461868173,4,Area05_002,Done
1461868173,4,Area05_003,Done
1461868173,4,Area05_004,Done
1461868173,4,Area05_005,Done
1461868173,4,Area05_006,Done
1461868173,4,Area05_007,Done
1461868173,4,Area05_008,Done
1461868173,4,Area05_009,Done
1461868173,4,Area05_010,Done
1461868173,4,Area05_011,Done
1461868173,4,Area05_012,Done
1461868173,4,Area05_013,Done
1461868173,4,Area05_014,Done
1461868173,4,Area05_015,Done
1461868173,4,Area05_016,Done
1461868173,4,Area05_017,Done
1461868173,4,Area05_018,Done
1461868173,4,Area05_019,Done
1461868173,4,Area05_020,Done
1461868173,4,Area05_021,Done
1461868173,5,Area06_001,Done
1461868173,5,Area06_002,Done
1461868173,5,Area06_003,Done
1461868173,5,Area06_004,Done
1461868173,5,Area06_005,Done
1461868173,5,Area06_006,Done
1461868173,5,Area06_007,Done
1461868173,5,Area06_008,Done
1461868173,5,Area06_009,Done
1461868173,5,Area06_010,Done
1461868173,5,Area06_011,Next
1461868173,5,Area06_012,Done
1461868173,5,Area06_013,Done
1461868173,5,Area06_014,Done
1461868173,5,Area06_015,Done
1461868173,5,Area06_016,Done
1461868173,5,Area06_017,Done
1461868173,5,Area06_018,Done
1461868173,5,Area06_019,Done
1461868173,5,Area06_020,Done
1461868173,5,Area06_021,Done
1461868173,5,Area06_022,Done
1461868173,5,Area06_023,Done
1461868173,5,Area06_024,Done
1461868173,5,Area06_025,Done
1461868173,5,Area06_026,Done
1461868173,5,Area06_027,Done
1461868173,5,Area06_028,Done
1461868173,5,Area06_029,Done
1461868173,6,Area07_001,Done
1461868173,6,Area07_002,Done
1461868173,6,Area07_003,Done
1461868173,6,Area07_006,Done
1461868173,6,Area07_007,Done
1461868173,6,Area07_008,Done
1461868173,6,Area07_009,Done
1461868173,6,Area07_010,Done
1461868173,6,Area07_011,Done
1461868173,6,Area07_012,Done
1461868173,6,Area07_013,Done
1461868173,6,Area07_014,Done
1461868173,6,Area07_015,Done
1461868173,6,Area07_016,Done
1461868173,6,Area07_017,Done
1461868173,6,Area07_018,Done
1461868173,6,Area07_019,Done
1461868173,6,Area07_020,Done
1461868173,7,Area08_001,Current
1461868173,7,Area08_002,Current
1461868173,7,Area08_003,Current
1461868173,7,Area08_004,Current
1461868173,7,Area08_005,Current
1461868173,7,Area08_006,Current
1461868173,7,Area08_007,Current
1461868173,7,Area08_008,Done
1461868173,7,Area08_009,Current
1461868173,7,Area08_010,Done
1461868173,7,Area08_011,Done
1461868173,7,Area08_012,Done
1461868173,7,Area08_013,Done
1461868173,7,Area08_014,Done
1461868173,7,Area08_015,Done
1461868173,7,Area08_016,Done
1461868173,7,Area08_017,Current
1461868173,7,Area08_018,Done
1461868173,7,Area08_019,Done
1461868173,7,Area08_020,Done
1461868173,7,Area08_021,Done
1461868173,7,Area08_022,Done
1461868173,7,Area08_099,Current
1461868173,8,Area09_001,Done
1461868173,8,Area09_002,Done
1461868173,8,Area09_003,Done
1461868173,8,Area09_004,Done
1461868173,8,Area09_005,Done
1461868173,8,Area09_006,Done
1461868173,8,Area09_007,Done
1461868173,8,Area09_008,Done
1461868173,8,Area09_009,Done
1461868173,8,Area09_010,Done
1461868173,8,Area09_011,Done
1461868173,8,Area09_012,Done
1461868173,8,Area09_013,Done
1461868173,8,Area09_014,Done
1461868173,8,Area09_015,Done
1461868173,8,Area09_016,Done
1461868173,8,Area09_017,Current
1461868173,8,Area09_018,Current
1461868173,8,Area09_019,Done
1461868173,8,Area09_020,Done
1461884701,0,Area01_001,Done
1461884701,0,Area01_002,Done
1461884701,0,Area01_003,Done
1461884701,0,Area01_004,Done
1461884701,0,Area01_005,Done
1461884701,0,Area01_006,Done
1461884701,0,Area01_007,Done
1461884701,0,Area01_008,Done
1461884701,0,Area01_009,Done
1461884701,0,Area01_010,Done
1461884701,0,Area01_011,Done
1461884701,0,Area01_012,Done
1461884701,0,Area01_013,Done
1461884701,0,Area01_014,Done
1461884701,0,Area01_015,Done
1461884701,0,Area01_016,Done
1461884701,0,Area01_017,Done
1461884701,0,Area01_018,Done
1461884701,0,Area01_019,Done
1461884701,0,Area01_020,Done
1461884701,0,Area01_021,Done
1461884701,9,Area10_001,Current
1461884701,9,Area10_002,Current
1461884701,9,Area10_003,Current
1461884701,9,Area10_004,Current
1461884701,9,Area10_005,Current
1461884701,9,Area10_006,Current
1461884701,9,Area10_007,Current
1461884701,9,Area10_008,Current
1461884701,9,Area10_009,Current
1461884701,9,Area10_010,Current
1461884701,9,Area10_011,Current
1461884701,9,Area10_012,Current
1461884701,9,Area10_013,Done
1461884701,9,Area10_014,Current
1461884701,9,Area10_015,Current
1461884701,9,Area10_016,Current
1461884701,9,Area10_017,Current
1461884701,9,Area10_018,Current
1461884701,9,Area10_019,Current
1461884701,9,Area10_020,Current
1461884701,9,Area10_021,Current
1461884701,9,Area10_022,Current
1461884701,9,Area10_023,Current
1461884701,1,Area02_001,Done
1461884701,1,Area02_002,Done
1461884701,1,Area02_003,Done
1461884701,1,Area02_004,Done
1461884701,1,Area02_005,Done
1461884701,1,Area02_006,Done
1461884701,1,Area02_007,Done
1461884701,1,Area02_008,Done
1461884701,1,Area02_009,Done
1461884701,1,Area02_010,Done
1461884701,1,Area02_011,Done
1461884701,1,Area02_012,Done
1461884701,1,Area02_013,Done
1461884701,1,Area02_014,Done
1461884701,1,Area02_015,Done
1461884701,1,Area02_016,Done
1461884701,1,Area02_017,Done
1461884701,1,Area02_018,Done
1461884701,1,Area02_019,Done
1461884701,1,Area02_020,Done
1461884701,1,Area02_021,Done
1461884701,1,Area02_022,Done
1461884701,1,Area02_023,Done
1461884701,1,Area02_024,Done
1461884701,1,Area02_025,Current
1461884701,1,Area02_026,Current
1461884701,2,Area03_001,Done
1461884701,2,Area03_002,Done
1461884701,2,Area03_003,Done
1461884701,2,Area03_004,Done
1461884701,2,Area03_005,Done
1461884701,2,Area03_006,Done
1461884701,2,Area03_007,Done
1461884701,2,Area03_008,Done
1461884701,2,Area03_009,Done
1461884701,2,Area03_010,Done
1461884701,2,Area03_011,Done
1461884701,2,Area03_012,Done
1461884701,2,Area03_013,Done
1461884701,2,Area03_014,Done
1461884701,2,Area03_015,Done
1461884701,2,Area03_016,Done
1461884701,2,Area03_017,Done
1461884701,2,Area03_018,Done
1461884701,2,Area03_019,Done
1461884701,2,Area03_020,Done
1461884701,2,Area03_021,Done
1461884701,3,Area04_001,Done
1461884701,3,Area04_002,Done
1461884701,3,Area04_003,Done
1461884701,3,Area04_004,Done
1461884701,3,Area04_005,Done
1461884701,3,Area04_006,Done
1461884701,3,Area04_007,Done
1461884701,3,Area04_008,Done
1461884701,3,Area04_009,Done
1461884701,3,Area04_010,Done
1461884701,3,Area04_011,Done
1461884701,3,Area04_012,Done
1461884701,3,Area04_013,Done
1461884701,3,Area04_014,Done
1461884701,3,Area04_015,Done
1461884701,3,Area04_016,Done
1461884701,3,Area04_017,Done
1461884701,3,Area04_018,Done
1461884701,3,Area04_019,Done
1461884701,4,Area05_001,Done
1461884701,4,Area05_002,Done
1461884701,4,Area05_003,Done
1461884701,4,Area05_004,Done
1461884701,4,Area05_005,Done
1461884701,4,Area05_006,Done
1461884701,4,Area05_007,Done
1461884701,4,Area05_008,Done
1461884701,4,Area05_009,Done
1461884701,4,Area05_010,Done
1461884701,4,Area05_011,Done
1461884701,4,Area05_012,Done
1461884701,4,Area05_013,Done
1461884701,4,Area05_014,Done
1461884701,4,Area05_015,Done
1461884701,4,Area05_016,Done
1461884701,4,Area05_017,Done
1461884701,4,Area05_018,Done
1461884701,4,Area05_019,Done
1461884701,4,Area05_020,Done
1461884701,4,Area05_021,Done
1461884701,5,Area06_001,Done
1461884701,5,Area06_002,Done
1461884701,5,Area06_003,Done
1461884701,5,Area06_004,Done
1461884701,5,Area06_005,Done
1461884701,5,Area06_006,Done
1461884701,5,Area06_007,Done
1461884701,5,Area06_008,Done
1461884701,5,Area06_009,Done
1461884701,5,Area06_010,Done
1461884701,5,Area06_011,Next
1461884701,5,Area06_012,Done
1461884701,5,Area06_013,Done
1461884701,5,Area06_014,Done
1461884701,5,Area06_015,Done
1461884701,5,Area06_016,Done
1461884701,5,Area06_017,Done
1461884701,5,Area06_018,Done
1461884701,5,Area06_019,Done
1461884701,5,Area06_020,Done
1461884701,5,Area06_021,Done
1461884701,5,Area06_022,Done
1461884701,5,Area06_023,Done
1461884701,5,Area06_024,Done
1461884701,5,Area06_025,Done
1461884701,5,Area06_026,Done
1461884701,5,Area06_027,Done
1461884701,5,Area06_028,Done
1461884701,5,Area06_029,Done
1461884701,6,Area07_001,Done
1461884701,6,Area07_002,Done
1461884701,6,Area07_003,Done
1461884701,6,Area07_006,Done
1461884701,6,Area07_007,Done
1461884701,6,Area07_008,Done
1461884701,6,Area07_009,Done
1461884701,6,Area07_010,Done
1461884701,6,Area07_011,Done
1461884701,6,Area07_012,Done
1461884701,6,Area07_013,Done
1461884701,6,Area07_014,Done
1461884701,6,Area07_015,Done
1461884701,6,Area07_016,Done
1461884701,6,Area07_017,Done
1461884701,6,Area07_018,Done
1461884701,6,Area07_019,Done
1461884701,6,Area07_020,Done
1461884701,7,Area08_001,Done
1461884701,7,Area08_002,Done
1461884701,7,Area08_003,Done
1461884701,7,Area08_004,Done
1461884701,7,Area08_005,Done
1461884701,7,Area08_006,Done
1461884701,7,Area08_007,Done
1461884701,7,Area08_008,Done
1461884701,7,Area08_009,Done
1461884701,7,Area08_010,Done
1461884701,7,Area08_011,Done
1461884701,7,Area08_012,Done
1461884701,7,Area08_013,Done
1461884701,7,Area08_014,Done
1461884701,7,Area08_015,Done
1461884701,7,Area08_016,Done
1461884701,7,Area08_017,Done
1461884701,7,Area08_018,Done
1461884701,7,Area08_019,Done
1461884701,7,Area08_020,Done
1461884701,7,Area08_021,Done
1461884701,7,Area08_022,Done
1461884701,7,Area08_099,Done
1461884701,8,Area09_001,Done
1461884701,8,Area09_002,Done
1461884701,8,Area09_003,Done
1461884701,8,Area09_004,Done
1461884701,8,Area09_005,Done
1461884701,8,Area09_006,Done
1461884701,8,Area09_007,Done
1461884701,8,Area09_008,Done
1461884701,8,Area09_009,Done
