Time Stamp,District,Area,Status
1475622301,3,Area04_010,Current
1475622301,3,Area04_011,Current
1475622301,3,Area04_012,Current
1475622301,3,Area04_013,Current
1475622301,3,Area04_014,Current
1475622301,3,Area04_015,Current
1475622301,3,Area04_016,Current
1475622301,3,Area04_017,Current
1475622301,3,Area04_018,Current
1475622301,3,Area04_019,Current
1475622301,4,Area05_001,Next
1475622301,4,Area05_002,Next
1475622301,4,Area05_003,Next
1475622301,4,Area05_004,Next
1475622301,4,Area05_005,Next
1475622301,4,Area05_006,Next
1475622301,4,Area05_007,Next
1475622301,4,Area05_008,Next
1475622301,4,Area05_009,Next
1475622301,4,Area05_010,Next
1475622301,4,Area05_011,Next
1475622301,4,Area05_012,Next
1475622301,4,Area05_013,Next
1475622301,4,Area05_014,Next
1475622301,4,Area05_015,Next
1475622301,4,Area05_016,Next
1475622301,4,Area05_017,Next
1475622301,4,Area05_018,Next
1475622301,4,Area05_019,Next
1475622301,4,Area05_020,Next
1475622301,4,Area05_021,Next
1475622301,5,Area06_001,Next
1475622301,5,Area06_002,Next
1475622301,5,Area06_003,Next
1475622301,5,Area06_004,Next
1475622301,5,Area06_005,Next
1475622301,5,Area06_006,Next
1475622301,5,Area06_007,Next
1475622301,5,Area06_008,Next
1475622301,5,Area06_009,Next
1475622301,5,Area06_010,Next
1475622301,5,Area06_011,Next
1475622301,5,Area06_012,Next
1475622301,5,Area06_013,Next
1475622301,5,Area06_014,Next
1475622301,5,Area06_015,Next
1475622301,5,Area06_016,Next
1475622301,5,Area06_017,Next
1475622301,5,Area06_018,Next
1475622301,5,Area06_019,Next
1475622301,5,Area06_020,Next
1475622301,5,Area06_021,Next
1475622301,5,Area06_022,Next
1475622301,5,Area06_023,Next
1475622301,5,Area06_024,Next
1475622301,5,Area06_025,Next
1475622301,5,Area06_026,Next
1475622301,5,Area06_027,Next
1475622301,5,Area06_028,Next
1475622301,5,Area06_029,Next
1475622301,6,Area07_001,Not Done
1475622301,6,Area07_002,Not Done
1475622301,6,Area07_003,Not Done
1475622301,6,Area07_006,Not Done
1475622301,6,Area07_007,Not Done
1475622301,6,Area07_008,Not Done
1475622301,6,Area07_009,Not Done
1475622301,6,Area07_010,Not Done
1475622301,6,Area07_011,Not Done
1475622301,6,Area07_012,Not Done
1475622301,6,Area07_013,Not Done
1475622301,6,Area07_014,Not Done
1475622301,6,Area07_015,Not Done
1475622301,6,Area07_016,Not Done
1475622301,6,Area07_017,Not Done
1475622301,6,Area07_018,Not Done
1475622301,6,Area07_019,Not Done
1475622301,6,Area07_020,Not Done
1475622301,7,Area08_001,Done
1475622301,7,Area08_002,Done
1475622301,7,Area08_003,Done
1475622301,7,Area08_004,Done
1475622301,7,Area08_005,Done
1475622301,7,Area08_006,Done
1475622301,7,Area08_007,Done
1475622301,7,Area08_008,Done
1475622301,7,Area08_009,Done
1475622301,7,Area08_010,Done
1475622301,7,Area08_011,Done
1475622301,7,Area08_012,Done
1475622301,7,Area08_013,Done
1475622301,7,Area08_014,Done
1475622301,7,Area08_015,Done
1475622301,7,Area08_016,Done
1475622301,7,Area08_017,Done
1475622301,7,Area08_018,Done
1475622301,7,Area08_019,Done
1475622301,7,Area08_020,Done
1475622301,7,Area08_021,Done
1475622301,7,Area08_022,Done
1475622301,7,Area08_099,Done
1475622301,8,Area09_001,Not Done
1475622301,8,Area09_002,Not Done
1475622301,8,Area09_003,Not Done
1475622301,8,Area09_004,Not Done
1475622301,8,Area09_005,Not Done
1475622301,8,Area09_006,Not Done
1475622301,8,Area09_007,Not Done
1475622301,8,Area09_008,Not Done
1475622301,8,Area09_009,Not Done
1475622301,8,Area09_010,Not Done
1475622301,8,Area09_011,Not Done
1475622301,8,Area09_012,Not Done
1475622301,8,Area09_013,Not Done
1475622301,8,Area09_014,Not Done
1475622301,8,Area09_015,Not Done
1475622301,8,Area09_016,Not Done
1475622301,8,Area09_017,Not Done
1475622301,8,Area09_018,Not Done
1475622301,8,Area09_019,Not Done
1475622301,8,Area09_020,Not Done
1475665501,0,Area01_001,Done
1475665501,0,Area01_002,Done
1475665501,0,Area01_003,Done
1475665501,0,Area01_004,Done
1475665501,0,Area01_005,Done
1475665501,0,Area01_006,Done
1475665501,0,Area01_007,Done
1475665501,0,Area01_008,Done
1475665501,0,Area01_009,Done
1475665501,0,Area01_010,Done
1475665501,0,Area01_011,Done
1475665501,0,Area01_012,Done
1475665501,0,Area01_013,Done
1475665501,0,Area01_014,Done
1475665501,0,Area01_015,Done
1475665501,0,Area01_016,Done
1475665501,0,Area01_017,Done
1475665501,0,Area01_018,Done
1475665501,0,Area01_019,Done
1475665501,0,Area01_020,Done
1475665501,0,Area01_021,Done
1475665501,9,Area10_001,Done
1475665501,9,Area10_002,Done
1475665501,9,Area10_003,Done
1475665501,9,Area10_004,Done
1475665501,9,Area10_005,Done
1475665501,9,Area10_006,Done
1475665501,9,Area10_007,Done
1475665501,9,Area10_008,Done
1475665501,9,Area10_009,Done
1475665501,9,Area10_010,Done
1475665501,9,Area10_011,Done
1475665501,9,Area10_012,Done
1475665501,9,Area10_013,Done
1475665501,9,Area10_014,Done
1475665501,9,Area10_015,Done
1475665501,9,Area10_016,Done
1475665501,9,Area10_017,Done
1475665501,9,Area10_018,Done
1475665501,9,Area10_019,Done
1475665501,9,Area10_020,Done
1475665501,9,Area10_021,Current
1475665501,9,Area10_022,Done
1475665501,9,Area10_023,Current
1475665501,1,Area02_001,Done
1475665501,1,Area02_002,Done
1475665501,1,Area02_003,Done
1475665501,1,Area02_004,Done
1475665501,1,Area02_005,Done
1475665501,1,Area02_006,Done
1475665501,1,Area02_007,Done
1475665501,1,Area02_008,Done
1475665501,1,Area02_009,Done
1475665501,1,Area02_010,Done
1475665501,1,Area02_011,Done
1475665501,1,Area02_012,Done
1475665501,1,Area02_013,Done
1475665501,1,Area02_014,Done
1475665501,1,Area02_015,Done
1475665501,1,Area02_016,Done
1475665501,1,Area02_017,Done
1475665501,1,Area02_018,Current
1475665501,1,Area02_019,Current
1475665501,1,Area02_020,Done
1475665501,1,Area02_021,Done
1475665501,1,Area02_022,Done
1475665501,1,Area02_023,Done
1475665501,1,Area02_024,Done
1475665501,1,Area02_025,Done
1475665501,1,Area02_026,Done
1475665501,2,Area03_001,Done
1475665501,2,Area03_002,Done
1475665501,2,Area03_003,Done
1475665501,2,Area03_004,Done
1475665501,2,Area03_005,Current
1475665501,2,Area03_006,Done
1475665501,2,Area03_007,Current
1475665501,2,Area03_008,Current
1475665501,2,Area03_009,Current
1475665501,2,Area03_010,Current
1475665501,2,Area03_011,Done
1475665501,2,Area03_012,Current
1475665501,2,Area03_013,Current
1475665501,2,Area03_014,Current
1475665501,2,Area03_015,Current
1475665501,2,Area03_016,Current
1475665501,2,Area03_017,Current
1475665501,2,Area03_018,Current
1475665501,2,Area03_019,Current
1475665501,2,Area03_020,Current
1475665501,2,Area03_021,Current
1475665501,4,Area05_001,Next
1475665501,4,Area05_002,Next
1475665501,4,Area05_003,Next
1475665501,4,Area05_004,Next
1475665501,4,Area05_005,Next
1475665501,4,Area05_006,Next
1475665501,4,Area05_007,Next
1475665501,4,Area05_008,Next
1475665501,4,Area05_009,Next
1475665501,4,Area05_010,Next
1475665501,4,Area05_011,Next
1475665501,4,Area05_012,Next
1475665501,4,Area05_013,Next
1475665501,4,Area05_014,Next
1475665501,4,Area05_015,Next
1475665501,4,Area05_016,Next
1475665501,4,Area05_017,Next
1475665501,4,Area05_018,Next
1475665501,4,Area05_019,Next
1475665501,4,Area05_020,Next
1475665501,4,Area05_021,Next
1475665501,5,Area06_001,Next
1475665501,5,Area06_002,Next
1475665501,5,Area06_003,Next
1475665501,5,Area06_004,Next
1475665501,5,Area06_005,Next
1475665501,5,Area06_006,Next
1475665501,5,Area06_007,Next
1475665501,5,Area06_008,Next
1475665501,5,Area06_009,Next
1475665501,5,Area06_010,Next
1475665501,5,Area06_011,Next
1475665501,5,Area06_012,Next
1475665501,5,Area06_013,Next
1475665501,5,Area06_014,Next
1475665501,5,Area06_015,Next
1475665501,5,Area06_016,Next
1475665501,5,Area06_017,Next
1475665501,5,Area06_018,Next
1475665501,5,Area06_019,Next
1475665501,5,Area06_020,Next
1475665501,5,Area06_021,Next
1475665501,5,Area06_022,Next
1475665501,5,Area06_023,Next
1475665501,5,Area06_024,Next
1475665501,5,Area06_025,Next
1475665501,5,Area06_026,Next
1475665501,5,Area06_027,Next
1475665501,5,Area06_028,Next
1475665501,5,Area06_029,Next
1475665501,6,Area07_001,Not Done
1475665501,6,Area07_002,Not Done
1475665501,6,Area07_003,Not Done
1475665501,6,Area07_006,Not Done
1475665501,6,Area07_007,Not Done
1475665501,6,Area07_008,Not Done
1475665501,6,Area07_009,Not Done
1475665501,6,Area07_010,Not Done
1475665501,6,Area07_011,Not Done
1475665501,6,Area07_012,Not Done
1475665501,6,Area07_013,Not Done
1475665501,6,Area07_014,Not Done
1475665501,6,Area07_015,Not Done
1475665501,6,Area07_016,Not Done
1475665501,6,Area07_017,Not Done
1475665501,6,Area07_018,Not Done
1475665501,6,Area07_019,Not Done
1475665501,6,Area07_020,Not Done
1475665501,7,Area08_001,Done
1475665501,7,Area08_002,Done
1475665501,7,Area08_003,Done
1475665501,7,Area08_004,Done
1475665501,7,Area08_005,Done
1475665501,7,Area08_006,Done
1475665501,7,Area08_007,Done
1475665501,7,Area08_008,Done
1475665501,7,Area08_009,Done
1475665501,7,Area08_010,Done
1475665501,7,Area08_011,Done
1475665501,7,Area08_012,Done
1475665501,7,Area08_013,Done
1475665501,7,Area08_014,Done
1475665501,7,Area08_015,Done
1475665501,7,Area08_016,Done
1475665501,7,Area08_017,Done
1475665501,7,Area08_018,Done
1475665501,7,Area08_019,Done
1475665501,7,Area08_020,Done
1475665501,7,Area08_021,Done
1475665501,7,Area08_022,Done
1475665501,7,Area08_099,Done
1475665501,8,Area09_001,Not Done
1475665501,8,Area09_002,Not Done
1475665501,8,Area09_003,Not Done
1475665501,8,Area09_004,Not Done
1475665501,8,Area09_005,Not Done
1475665501,8,Area09_006,Not Done
1475665501,8,Area09_007,Not Done
1475665501,8,Area09_008,Not Done
1475665501,8,Area09_009,Not Done
1475665501,8,Area09_010,Not Done
1475665501,8,Area09_011,Not Done
1475665501,8,Area09_012,Not Done
1475665501,8,Area09_013,Not Done
1475665501,8,Area09_014,Not Done
1475665501,8,Area09_015,Not Done
1475665501,8,Area09_016,Not Done
1475665501,8,Area09_017,Not Done
1475665501,8,Area09_018,Not Done
1475665501,8,Area09_019,Not Done
1475665501,8,Area09_020,Not Done
1475708701,0,Area01_001,Done
1475708701,0,Area01_002,Done
1475708701,0,Area01_003,Done
1475708701,0,Area01_004,Done
1475708701,0,Area01_005,Done
1475708701,0,Area01_006,Done
1475708701,0,Area01_007,Done
1475708701,0,Area01_008,Done
1475708701,0,Area01_009,Done
1475708701,0,Area01_010,Done
1475708701,0,Area01_011,Done
1475708701,0,Area01_012,Done
1475708701,0,Area01_013,Done
1475708701,0,Area01_014,Done
1475708701,0,Area01_015,Done
1475708701,0,Area01_016,Done
1475708701,0,Area01_017,Done
1475708701,0,Area01_018,Done
1475708701,0,Area01_019,Done
1475708701,0,Area01_020,Done
1475708701,0,Area01_021,Done
1475708701,9,Area10_001,Done
1475708701,9,Area10_002,Done
1475708701,9,Area10_003,Done
1475708701,9,Area10_004,Done
1475708701,9,Area10_005,Done
1475708701,9,Area10_006,Done
1475708701,9,Area10_007,Done
1475708701,9,Area10_008,Done
1475708701,9,Area10_009,Done
1475708701,9,Area10_010,Done
1475708701,9,Area10_011,Done
1475708701,9,Area10_012,Done
1475708701,9,Area10_013,Done
1475708701,9,Area10_014,Done
1475708701,9,Area10_015,Done
1475708701,9,Area10_016,Done
1475708701,9,Area10_017,Done
1475708701,9,Area10_018,Done
1475708701,9,Area10_019,Done
1475708701,9,Area10_020,Done
1475708701,9,Area10_021,Current
1475708701,9,Area10_022,Done
1475708701,9,Area10_023,Current
1475708701,1,Area02_001,Done
1475708701,1,Area02_002,Done
1475708701,1,Area02_003,Done
1475708701,1,Area02_004,Done
1475708701,1,Area02_005,Done
1475708701,1,Area02_006,Done
1475708701,1,Area02_007,Done
1475708701,1,Area02_008,Done
1475708701,1,Area02_009,Done
1475708701,1,Area02_010,Done
1475708701,1,Area02_011,Done
1475708701,1,Area02_012,Done
1475708701,1,Area02_013,Done
1475708701,1,Area02_014,Done
1475708701,1,Area02_015,Done
1475708701,1,Area02_016,Done
1475708701,1,Area02_017,Done
1475708701,1,Area02_018,Done
1475708701,1,Area02_019,Done
1475708701,1,Area02_020,Done
1475708701,1,Area02_021,Done
1475708701,1,Area02_022,Done
1475708701,1,Area02_023,Done
1475708701,1,Area02_024,Done
1475708701,1,Area02_025,Done
1475708701,1,Area02_026,Done
1475708701,2,Area03_001,Done
1475708701,2,Area03_002,Done
1475708701,2,Area03_003,Done
1475708701,2,Area03_004,Done
1475708701,2,Area03_005,Done
1475708701,2,Area03_006,Done
1475708701,2,Area03_007,Done
1475708701,2,Area03_008,Done
1475708701,2,Area03_009,Done
1475708701,2,Area03_010,Done
1475708701,2,Area03_011,Done
1475708701,2,Area03_012,Done
1475708701,2,Area03_013,Done
1475708701,2,Area03_014,Done
1475708701,2,Area03_015,Done
1475708701,2,Area03_016,Done
1475708701,2,Area03_017,Done
1475708701,2,Area03_018,Done
1475708701,2,Area03_019,Done
1475708701,2,Area03_020,Done
1475708701,2,Area03_021,Done
1475708701,3,Area04_001,Done
1475708701,3,Area04_002,Done
1475708701,3,Area04_003,Done
1475708701,3,Area04_004,Done
1475708701,3,Area04_005,Done
1475708701,3,Area04_006,Done
1475708701,3,Area04_007,Done
1475708701,3,Area04_008,Done
1475708701,3,Area04_009,Done
1475708701,3,Area04_010,Done
1475708701,3,Area04_011,Done
1475708701,3,Area04_012,Done
1475708701,3,Area04_013,Done
1475708701,3,Area04_014,Done
1475708701,3,Area04_015,Current
1475708701,3,Area04_016,Done
1475708701,3,Area04_017,Done
1475708701,3,Area04_018,Done
1475708701,3,Area04_019,Done
1475708701,4,Area05_001,Current
1475708701,4,Area05_002,Current
1475708701,4,Area05_003,Current
1475708701,4,Area05_004,Current
1475708701,4,Area05_005,Current
1475708701,4,Area05_006,Done
1475708701,4,Area05_007,Current
1475708701,4,Area05_008,Current
1475708701,4,Area05_009,Current
1475708701,4,Area05_010,Current
1475708701,4,Area05_011,Current
1475708701,4,Area05_012,Done
1475708701,4,Area05_013,Current
1475708701,4,Area05_014,Current
1475708701,4,Area05_015,Current
1475708701,4,Area05_016,Done
1475708701,4,Area05_017,Done
1475708701,4,Area05_018,Current
1475708701,4,Area05_019,Current
1475708701,4,Area05_020,Current
1475708701,4,Area05_021,Current
1475708701,5,Area06_001,Current
1475708701,5,Area06_002,Current
1475708701,5,Area06_003,Current
1475708701,5,Area06_004,Current
1475708701,5,Area06_005,Current
1475708701,5,Area06_006,Current
1475708701,5,Area06_007,Current
1475708701,5,Area06_008,Current
1475708701,5,Area06_009,Current
1475708701,5,Area06_010,Done
1475708701,5,Area06_011,Done
1475708701,5,Area06_012,Done
1475708701,5,Area06_013,Current
1475708701,5,Area06_014,Current
1475708701,5,Area06_015,Current
1475708701,5,Area06_016,Current
1475708701,5,Area06_017,Current
1475708701,5,Area06_018,Current
1475708701,5,Area06_019,Current
1475708701,5,Area06_020,Current
1475708701,5,Area06_021,Current
1475708701,5,Area06_022,Current
1475708701,5,Area06_023,Current
1475708701,5,Area06_024,Current
1475708701,5,Area06_025,Current
1475708701,5,Area06_026,Current
1475708701,5,Area06_027,Current
1475708701,5,Area06_028,Current
1475708701,5,Area06_029,Current
1475708701,6,Area07_001,Next
1475708701,6,Area07_002,Next
1475708701,6,Area07_003,Next
1475708701,6,Area07_006,Next
1475708701,6,Area07_007,Next
1475708701,6,Area07_008,Next
1475708701,6,Area07_009,Next
1475708701,6,Area07_010,Next
1475708701,6,Area07_011,Next
1475708701,6,Area07_012,Next
1475708701,6,Area07_013,Next
1475708701,6,Area07_014,Next
1475708701,6,Area07_015,Next
1475708701,6,Area07_016,Next
1475708701,6,Area07_017,Next
1475708701,6,Area07_018,Next
1475708701,6,Area07_019,Next
1475708701,6,Area07_020,Next
1475708701,7,Area08_001,Done
1475708701,7,Area08_002,Done
1475708701,7,Area08_003,Done
1475708701,7,Area08_004,Done
1475708701,7,Area08_005,Done
1475708701,7,Area08_006,Done
1475708701,7,Area08_007,Done
1475708701,7,Area08_008,Done
1475708701,7,Area08_009,Done
1475708701,7,Area08_010,Done
1475708701,7,Area08_011,Done
1475708701,7,Area08_012,Done
1475708701,7,Area08_013,Done
1475708701,7,Area08_014,Done
1475708701,7,Area08_015,Done
1475708701,7,Area08_016,Done
1475708701,7,Area08_017,Done
1475708701,7,Area08_018,Done
1475708701,7,Area08_019,Done
1475708701,7,Area08_020,Done
1475708701,7,Area08_021,Done
1475708701,7,Area08_022,Done
1475708701,7,Area08_099,Done
1475708701,8,Area09_001,Not Done
1475708701,8,Area09_002,Not Done
1475708701,8,Area09_003,Not Done
1475708701,8,Area09_004,Not Done
1475708701,8,Area09_005,Not Done
1475708701,8,Area09_006,Not Done
1475708701,8,Area09_007,Not Done
1475708701,8,Area09_008,Not Done
1475708701,8,Area09_009,Not Done
1475708701,8,Area09_010,Not Done
1475708701,8,Area09_011,Not Done
1475708701,8,Area09_012,Not Done
1475708701,8,Area09_013,Not Done
1475708701,8,Area09_014,Not Done
1475708701,8,Area09_015,Not Done
1475708701,8,Area09_016,Not Done
1475708701,8,Area09_017,Not Done
1475708701,8,Area09_018,Not Done
1475708701,8,Area09_019,Not Done
1475708701,8,Area09_020,Not Done
1475751901,0,Area01_001,Done
1475751901,0,Area01_002,Done
1475751901,0,Area01_003,Done
1475751901,0,Area01_004,Done
1475751901,0,Area01_005,Done
1475751901,0,Area01_006,Done
1475751901,0,Area01_007,Done
1475751901,0,Area01_008,Done
1475751901,0,Area01_009,Done
1475751901,0,Area01_010,Done
1475751901,0,Area01_011,Done
1475751901,0,Area01_012,Done
1475751901,0,Area01_013,Done
1475751901,0,Area01_014,Done
1475751901,0,Area01_015,Done
1475751901,0,Area01_016,Done
1475751901,0,Area01_017,Done
1475751901,0,Area01_018,Done
1475751901,0,Area01_019,Done
1475751901,0,Area01_020,Done
1475751901,0,Area01_021,Done
1475751901,9,Area10_001,Done
1475751901,9,Area10_002,Done
1475751901,9,Area10_003,Done
1475751901,9,Area10_004,Done
1475751901,9,Area10_005,Done
1475751901,9,Area10_006,Done
1475751901,9,Area10_007,Done
1475751901,9,Area10_008,Done
1475751901,9,Area10_009,Done
1475751901,9,Area10_010,Done
1475751901,9,Area10_011,Done
1475751901,9,Area10_012,Done
1475751901,9,Area10_013,Done
1475751901,9,Area10_014,Done
1475751901,9,Area10_015,Done
1475751901,9,Area10_016,Done
1475751901,9,Area10_017,Done
1475751901,9,Area10_018,Done
1475751901,9,Area10_019,Done
1475751901,9,Area10_020,Done
1475751901,9,Area10_021,Current
1475751901,9,Area10_022,Done
1475751901,9,Area10_023,Current
1475751901,1,Area02_001,Done
1475751901,1,Area02_002,Done
1475751901,1,Area02_003,Done
1475751901,1,Area02_004,Done
1475751901,1,Area02_005,Done
1475751901,1,Area02_006,Done
1475751901,1,Area02_007,Done
1475751901,1,Area02_008,Done
1475751901,1,Area02_009,Done
1475751901,1,Area02_010,Done
1475751901,1,Area02_011,Done
1475751901,1,Area02_012,Done
1475751901,1,Area02_013,Done
1475751901,1,Area02_014,Done
1475751901,1,Area02_015,Done
1475751901,1,Area02_016,Done
1475751901,1,Area02_017,Done
1475751901,1,Area02_018,Done
1475751901,1,Area02_019,Done
1475751901,1,Area02_020,Done
1475751901,1,Area02_021,Done
1475751901,1,Area02_022,Done
1475751901,1,Area02_023,Done
1475751901,1,Area02_024,Done
1475751901,1,Area02_025,Done
1475751901,1,Area02_026,Done
1475751901,2,Area03_001,Done
1475751901,2,Area03_002,Done
1475751901,2,Area03_003,Done
1475751901,2,Area03_004,Done
1475751901,2,Area03_005,Done
1475751901,2,Area03_006,Done
1475751901,2,Area03_007,Done
1475751901,2,Area03_008,Done
1475751901,2,Area03_009,Done
1475751901,2,Area03_010,Done
1475751901,2,Area03_011,Done
1475751901,2,Area03_012,Done
1475751901,2,Area03_013,Done
1475751901,2,Area03_014,Done
1475751901,2,Area03_015,Done
1475751901,2,Area03_016,Done
1475751901,2,Area03_017,Done
1475751901,2,Area03_018,Done
1475751901,2,Area03_019,Done
1475751901,2,Area03_020,Done
1475751901,2,Area03_021,Done
1475751901,3,Area04_001,Done
1475751901,3,Area04_002,Done
1475751901,3,Area04_003,Done
1475751901,3,Area04_004,Done
1475751901,3,Area04_005,Done
1475751901,3,Area04_006,Done
1475751901,3,Area04_007,Done
1475751901,3,Area04_008,Done
1475751901,3,Area04_009,Done
1475751901,3,Area04_010,Done
1475751901,3,Area04_011,Done
1475751901,3,Area04_012,Done
1475751901,3,Area04_013,Done
1475751901,3,Area04_014,Done
1475751901,3,Area04_015,Current
1475751901,3,Area04_016,Done
1475751901,3,Area04_017,Done
1475751901,3,Area04_018,Done
1475751901,3,Area04_019,Done
1475751901,4,Area05_001,Current
1475751901,4,Area05_002,Current
1475751901,4,Area05_003,Current
1475751901,4,Area05_004,Current
1475751901,4,Area05_005,Current
1475751901,4,Area05_006,Done
1475751901,4,Area05_007,Current
1475751901,4,Area05_008,Current
1475751901,4,Area05_009,Current
1475751901,4,Area05_010,Current
1475751901,4,Area05_011,Current
1475751901,4,Area05_012,Done
1475751901,4,Area05_013,Current
1475751901,4,Area05_014,Current
1475751901,4,Area05_015,Current
1475751901,4,Area05_016,Done
1475751901,4,Area05_017,Done
1475751901,4,Area05_018,Current
1475751901,4,Area05_019,Current
1475751901,4,Area05_020,Current
1475751901,4,Area05_021,Current
1475751901,5,Area06_001,Current
1475751901,5,Area06_002,Current
1475751901,5,Area06_003,Current
1475751901,5,Area06_004,Current
1475751901,5,Area06_005,Current
1475751901,5,Area06_006,Current
1475751901,5,Area06_007,Current
1475751901,5,Area06_008,Current
1475751901,5,Area06_009,Current
1475751901,5,Area06_010,Done
1475751901,5,Area06_011,Done
1475751901,5,Area06_012,Done
1475751901,5,Area06_013,Current
1475751901,5,Area06_014,Current
1475751901,5,Area06_015,Current
1475751901,5,Area06_016,Current
1475751901,5,Area06_017,Current
1475751901,5,Area06_018,Current
1475751901,5,Area06_019,Current
1475751901,5,Area06_020,Current
1475751901,5,Area06_021,Current
1475751901,5,Area06_022,Current
1475751901,5,Area06_023,Current
1475751901,5,Area06_024,Current
1475751901,5,Area06_025,Current
1475751901,5,Area06_026,Current
1475751901,5,Area06_027,Current
1475751901,5,Area06_028,Current
1475751901,5,Area06_029,Current
1475751901,6,Area07_001,Next
1475751901,6,Area07_002,Next
1475751901,6,Area07_003,Next
1475751901,6,Area07_006,Next
1475751901,6,Area07_007,Next
1475751901,6,Area07_008,Next
1475751901,6,Area07_009,Next
1475751901,6,Area07_010,Next
1475751901,6,Area07_011,Next
1475751901,6,Area07_012,Next
1475751901,6,Area07_013,Next
1475751901,6,Area07_014,Next
1475751901,6,Area07_015,Next
1475751901,6,Area07_016,Next
1475751901,6,Area07_017,Next
1475751901,6,Area07_018,Next
1475751901,6,Area07_019,Next
1475751901,6,Area07_020,Next
1475751901,7,Area08_001,Done
1475751901,7,Area08_002,Done
1475751901,7,Area08_003,Done
1475751901,7,Area08_004,Done
1475751901,7,Area08_005,Done
1475751901,7,Area08_006,Done
1475751901,7,Area08_007,Done
1475751901,7,Area08_008,Done
1475751901,7,Area08_009,Done
1475751901,7,Area08_010,Done
1475751901,7,Area08_011,Done
1475751901,7,Area08_012,Done
1475751901,7,Area08_013,Done
1475751901,7,Area08_014,Done
1475751901,7,Area08_015,Done
1475751901,7,Area08_016,Done
